STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
VA,Virginia,37692,36030,37355,36241,34022
KS,Kansas,30531,31028,32869,34684,34024
IL,Illinois,36446,34418,35372,34800,34032
MI,Michigan,22992,25040,31437,32694,34112
IL,Illinois,36328,34392,36062,36031,34145
NC,North Carolina,32273,33754,35998,36157,34174
MS,Mississippi,36404,36582,38014,36989,34180
IN,Indiana,26215,27651,30707,33292,34191
KS,Kansas,21618,23466,28351,32787,34191
WV,West Virginia,30460,29037,29334,33520,34216
KS,Kansas,24315,27463,32458,33848,34287
NE,Nebraska,28852,29820,31662,32237,34296
TN,Tennessee,19698,21539,26767,30617,34318
SD,South Dakota,24332,25207,28220,31965,34375
IN,Indiana,24694,27446,33214,34185,34435
OH,Ohio,32991,33819,34726,34499,34451
MN,Minnesota,26929,28076,29771,32727,34454
NM,New Mexico,19456,23118,29979,32937,34489
MO,Missouri,24408,27547,34010,35597,34534
KS,Kansas,36824,36915,36291,36311,34549
WI,Wisconsin,32910,31647,33557,34690,34659
GA,Georgia,15464,17788,23695,32024,34668
IL,Illinois,30944,31704,34264,34242,34668
NE,Nebraska,36455,32508,34632,36288,34676
MS,Mississippi,33036,31722,34558,37057,34740
AL,Alabama,39191,36876,36583,34215,34772
UT,Utah,8523,10089,15215,23530,34788
TX,Texas,33142,32343,33627,35012,34860
MS,Mississippi,30174,30278,33166,34869,34907
OH,Ohio,26480,27749,31628,34827,34950
IL,Illinois,20117,22422,27619,32957,34962
MT,Montana,38092,33941,34606,34200,35133
MN,Minnesota,29336,27881,30000,32504,35183
ME,Maine,25691,30357,33616,34457,35237
TN,Tennessee,26483,28157,31340,33361,35319
OH,Ohio,31032,31557,34078,36058,35408
IA,Iowa,40241,35687,36051,35625,35437
MO,Missouri,14900,19534,24525,32513,35532
NE,Nebraska,31382,32655,35226,34876,35585
UT,Utah,20506,22211,25224,32588,35620
TX,Texas,24285,24804,31242,33915,35662
TX,Texas,21998,26154,30373,33718,35805
IN,Indiana,29619,31095,33625,34387,35809
IL,Illinois,41381,39301,39678,38950,35815
IA,Iowa,30813,29903,31589,33704,35872
TX,Texas,25024,27146,32321,35089,35874
KY,Kentucky,48764,43586,42441,39451,35942
PA,Pennsylvania,40476,39550,40672,38686,35954
IN,Indiana,39820,36897,36082,36903,35962
KY,Kentucky,39132,36742,36891,36910,35962
TN,Tennessee,28792,29141,33565,35662,35999
MO,Missouri,24323,27158,32513,35571,36039
NE,Nebraska,38344,36025,36951,36970,36084
VA,Virginia,48620,43820,40123,41452,36130
MN,Minnesota,29936,29259,31671,35386,36207
GA,Georgia,37180,35471,35483,36312,36251
VA,Virginia,18063,21421,25881,33481,36254
TX,Texas,37828,36928,37957,36702,36255
IN,Indiana,41838,39884,39256,38440,36282
NC,North Carolina,24999,27544,33603,37198,36444
LA,Louisiana,29692,30083,32986,35654,36549
OH,Ohio,36024,35427,36655,36901,36612
KY,Kentucky,34049,33550,37028,37121,36649
IN,Indiana,35596,35427,38075,37124,36662
ME,Maine,28795,33535,35214,35293,36699
OK,Oklahoma,39169,36490,39685,40069,36706
KY,Kentucky,33396,33326,35865,35637,36712
IN,Indiana,29163,30315,36019,37963,36726
KS,Kansas,29852,30453,27947,34362,36739
AL,Alabama,38440,35518,38440,38319,36757
MN,Minnesota,29657,32030,34898,36651,36771
MI,Michigan,29029,34604,38543,38520,36785
TX,Texas,25247,28833,31960,35161,36787
TN,Tennessee,34663,34854,37279,38335,36801
IL,Illinois,32617,33944,35535,37762,36899
MI,Michigan,38947,37780,38520,37069,36903
NC,North Carolina,13377,22746,29967,33920,36915
LA,Louisiana,43631,41989,41831,41207,36967
KY,Kentucky,28322,29496,33144,35613,36972
IA,Iowa,45953,40342,40235,38013,36999
NC,North Carolina,20178,23499,29811,33922,37014
WY,Wyoming,29062,30797,32014,36299,37066
WI,Wisconsin,30012,30339,33647,36842,37093
OH,Ohio,36369,36956,39188,37642,37102
