"GEO_ID","NAME","B19083_001M","B19083_001E",
"Geography","Geographic Area Name","Margin of Error!!Gini Index","Estimate!!Gini Index",
"1600000US4224000","Erie city, Pennsylvania","0.027","0.461",
"1600000US4260000","Philadelphia city, Pennsylvania","0.009","0.505",
"1600000US4261000","Pittsburgh city, Pennsylvania","0.018","0.519",
"1600000US4263624","Reading city, Pennsylvania","0.031","0.454",
"1600000US4269000","Scranton city, Pennsylvania","0.033","0.456",
"1600000US4419180","Cranston city, Rhode Island","0.037","0.436",
"1600000US4454640","Pawtucket city, Rhode Island","0.026","0.451",
"1600000US4459000","Providence city, Rhode Island","0.033","0.531",
"1600000US4474300","Warwick city, Rhode Island","0.021","0.423",
"1600000US4513330","Charleston city, South Carolina","0.026","0.500",
"1600000US4516000","Columbia city, South Carolina","0.035","0.534",
"1600000US4548535","Mount Pleasant town, South Carolina","0.031","0.445",
"1600000US4550875","North Charleston city, South Carolina","0.020","0.424",
"1600000US4561405","Rock Hill city, South Carolina","0.034","0.436",
"1600000US4652980","Rapid City city, South Dakota","0.047","0.470",
"1600000US4659020","Sioux Falls city, South Dakota","0.025","0.443",
"1600000US4714000","Chattanooga city, Tennessee","0.020","0.466",
"1600000US4715160","Clarksville city, Tennessee","0.031","0.412",
"1600000US4737640","Jackson city, Tennessee","0.069","0.548",
"1600000US4740000","Knoxville city, Tennessee","0.021","0.483",
"1600000US4748000","Memphis city, Tennessee","0.014","0.489",
"1600000US4751560","Murfreesboro city, Tennessee","0.034","0.436",
"1600000US4752006","Nashville-Davidson metropolitan government (balance), Tennessee","0.013","0.486",
"1600000US4801000","Abilene city, Texas","0.036","0.458",
"1600000US4801924","Allen city, Texas","0.035","0.398",
"1600000US4803000","Amarillo city, Texas","0.025","0.443",
"1600000US4804000","Arlington city, Texas","0.015","0.411",
"1600000US4804462","Atascocita CDP, Texas","0.023","0.339",
"1600000US4805000","Austin city, Texas","0.010","0.488",
"1600000US4806128","Baytown city, Texas","0.056","0.447",
"1600000US4807000","Beaumont city, Texas","0.030","0.511",
"1600000US4810768","Brownsville city, Texas","0.038","0.512",
"1600000US4810912","Bryan city, Texas","0.040","0.520",
"1600000US4813024","Carrollton city, Texas","0.023","0.385",
"1600000US4815976","College Station city, Texas","0.031","0.561",
"1600000US4817000","Corpus Christi city, Texas","0.018","0.467",
