,2019,2020,2021,2022
Nelson,"148,006","147,617","131,437","167,184"
Oliver,"247,970","261,222","230,268","213,782"
Pembina,"460,161","475,905","483,199","489,752"
Pierce,"224,347","221,774","249,480","243,558"
Ramsey,"579,505","598,427","597,033","650,936"
Ransom,"276,587","242,890","260,892","275,135"
Renville,"186,267","171,354","136,624","183,299"
Richland,"831,790","736,863","869,053","868,857"
Rolette,"380,919","382,376","368,092","390,301"
Sargent,"786,701","728,163","889,373","1,017,119"
Sheridan,"60,512","56,704","74,193","79,834"
Sioux,"129,304","136,383","116,324","117,059"
Slope,"33,822","37,361","34,900","17,356"
Stark,"3,031,261","2,645,773","2,463,064","2,538,708"
Steele,"148,639","156,957","140,578","167,575"
Stutsman,"1,263,035","1,203,098","1,220,691","1,263,996"
Towner,"165,129","191,557","142,677","202,348"
Traill,"432,084","442,964","421,144","456,240"
Walsh,"549,227","600,707","573,243","603,819"
Ward,"4,141,106","3,844,114","3,720,200","3,718,991"
Wells,"254,766","277,294","266,796","321,389"
Williams,"6,357,659","4,978,124","4,603,780","4,889,606"
,,,,
Ohio,"674,123,438","654,586,289","686,206,352","689,681,251"
Adams,"740,567","718,893","771,010","731,096"
Allen,"7,724,166","7,584,144","8,363,968","8,256,775"
Ashland,"1,764,454","1,789,002","1,838,348","1,794,586"
Ashtabula,"3,126,892","3,043,708","3,148,469","3,128,791"
Athens,"2,128,548","2,028,511","2,032,732","2,040,989"
Auglaize,"2,298,758","2,177,537","2,521,080","2,613,150"
Belmont,"3,291,917","3,312,030","2,891,373","2,342,623"
Brown,"845,253","827,464","890,505","873,259"
Butler,"22,196,688","21,197,321","21,803,589","22,230,923"
Carroll,"1,184,491","1,151,942","1,069,279","1,107,409"
Champaign,"1,184,965","1,202,992","1,235,588","1,197,748"
Clark,"4,702,941","4,466,629","4,650,364","4,670,033"
Clermont,"8,857,317","8,716,392","8,496,390","8,202,950"
Clinton,"2,216,578","2,236,165","2,391,636","2,330,367"
Columbiana,"3,014,047","2,992,732","3,170,030","3,485,590"
Coshocton,"1,285,822","1,218,802","1,193,618","1,213,917"
Crawford,"1,337,329","1,285,093","1,376,291","1,320,404"
Cuyahoga,"99,502,602","96,155,998","100,932,606","104,291,595"
Darke,"2,022,662","1,977,773","2,115,698","2,127,259"
Defiance,"1,680,369","1,582,930","1,666,555","1,727,813"
Delaware,"13,038,583","12,763,625","13,656,706","14,182,309"
Erie,"4,321,642","3,638,903","4,049,640","4,036,218"
Fairfield,"4,631,383","4,581,094","4,882,391","4,930,973"
Fayette,"2,172,589","2,188,810","2,250,462","2,197,282"
Franklin,"100,789,529","99,450,833","106,364,704","106,987,632"
Fulton,"2,012,784","2,036,357","2,040,290","2,078,871"
Gallia,"2,156,295","2,010,881","2,042,086","1,878,125"
Geauga,"4,399,898","4,072,647","4,427,931","4,291,969"
Greene,"10,139,067","10,233,376","10,743,589","10,746,361"
Guernsey,"2,156,083","2,155,809","2,034,443","1,891,472"
Hamilton,"79,923,661","78,195,239","80,921,470","82,163,638"
Hancock,"5,357,394","5,217,861","5,306,358","5,273,393"
Hardin,"889,647","855,235","918,215","902,409"
Harrison,"889,451","1,067,955","917,052","852,010"
Henry,"1,456,120","1,406,502","1,484,331","1,462,385"
Highland,"1,297,369","1,324,046","1,353,564","1,302,899"
Hocking,"630,473","606,934","625,425","620,676"
Holmes,"2,451,946","2,465,812","2,535,077","2,513,386"
Huron,"2,257,590","2,244,318","2,310,835","2,230,681"
Jackson,"1,015,716","1,027,757","1,011,975","1,000,206"
Jefferson,"3,454,919","3,557,087","3,443,622","3,310,140"
Knox,"2,143,575","2,014,459","2,092,549","2,115,556"
Lake,"11,566,104","11,272,525","11,628,180","11,486,331"
Lawrence,"1,814,363","1,765,040","1,813,007","1,778,136"
Licking,"6,879,022","7,169,364","7,713,485","7,746,383"
Logan,"2,039,376","1,876,114","2,028,299","2,034,619"
Lorain,"10,976,328","10,397,325","10,931,173","10,829,079"
Lucas,"25,563,668","23,554,831","25,564,644","24,869,446"
Madison,"1,916,859","1,892,462","2,045,739","2,056,628"
Mahoning,"9,464,895","9,032,301","9,345,359","9,434,149"
Marion,"2,695,505","2,609,755","2,671,009","2,595,839"
Medina,"7,524,789","7,204,523","7,630,183","7,410,530"
Meigs,"403,383","405,426","385,706","370,549"
Mercer,"2,290,805","2,181,460","2,275,173","2,393,852"
Miami,"4,416,271","4,324,640","4,523,868","4,497,993"
Monroe,"1,066,445","1,278,465","962,712","808,268"
Montgomery,"30,030,516","29,371,467","30,225,886","30,594,620"
Morgan,"332,965","337,652","379,913","376,811"
Morrow,"674,812","657,711","666,825","638,199"
Muskingum,"3,697,629","3,718,906","3,843,789","3,851,467"
Noble,"427,218","414,756","384,802","384,293"
Ottawa,"2,081,349","1,982,316","2,071,515","1,969,020"
Paulding,"566,797","569,990","603,453","584,862"
Perry,"739,942","721,790","710,267","703,568"
Pickaway,"1,786,030","1,829,423","1,964,415","1,956,381"
Pike,"1,118,720","1,065,977","1,077,573","1,120,835"
Portage,"6,426,348","6,271,378","6,460,681","6,289,123"
Preble,"1,128,878","1,133,048","1,279,036","1,251,007"
Putnam,"1,224,782","1,222,023","1,297,407","1,268,000"
Richland,"4,596,440","4,413,506","4,599,067","4,582,406"
Ross,"2,909,693","2,803,073","2,959,823","3,067,102"
Sandusky,"2,845,818","2,732,469","2,959,841","2,874,148"
Scioto,"2,677,946","2,455,134","2,663,547","2,661,289"
Seneca,"1,977,970","1,957,777","2,082,329","2,016,838"
Shelby,"3,263,768","3,082,774","3,238,260","3,220,354"
Stark,"17,005,209","16,018,392","17,014,685","16,974,392"
Summit,"31,045,465","29,827,791","31,050,003","31,419,739"
Trumbull,"7,037,617","6,663,632","6,925,258","6,955,556"
Tuscarawas,"3,811,548","3,686,277","3,815,677","3,737,584"
Union,"4,522,628","4,373,237","4,565,713","4,651,790"
Van Wert,"1,307,264","1,227,971","1,279,188","1,301,272"
Vinton,"312,384","284,264","300,515","347,017"
Warren,"12,742,460","12,321,853","13,776,307","13,922,936"
Washington,"3,558,114","3,424,885","3,539,740","3,515,174"
Wayne,"6,480,536","6,327,929","6,536,768","6,563,850"
Williams,"1,807,744","1,701,494","1,746,908","1,706,639"
Wood,"7,621,809","7,260,746","7,767,674","7,754,851"
Wyandot,"1,064,394","1,035,800","1,077,112","1,064,893"
,,,,
Oklahoma,"199,462,114","190,751,694","193,518,049","191,583,048"
Adair,"439,728","393,359","429,844","429,169"
Alfalfa,"386,638","401,996","343,682","300,297"
Atoka,"362,593","361,013","348,727","350,809"
Beaver,"410,512","367,022","425,783","346,261"
Beckham,"1,123,827","926,262","914,790","923,054"
Blaine,"1,355,099","1,403,781","1,072,083","1,216,853"
Bryan,"1,687,086","1,768,308","1,823,892","1,946,140"
Caddo,"962,305","909,451","929,694","919,840"
Canadian,"5,835,638","5,336,263","5,510,360","6,184,233"
Carter,"2,844,090","2,573,782","2,501,097","2,565,208"
Cherokee,"1,245,386","1,286,875","1,373,919","1,396,651"
Choctaw,"364,361","346,440","411,219","404,797"
Cimarron,"202,765","181,973","183,547","131,000"
Cleveland,"8,459,535","8,624,325","9,077,776","9,380,862"
Coal,"300,230","264,554","253,459","250,986"
Comanche,"5,080,197","4,958,459","5,140,993","5,038,354"
Cotton,"152,811","139,149","140,908","149,143"
Craig,"474,977","435,763","433,967","416,163"
Creek,"2,073,690","1,920,382","2,019,880","2,096,829"
Custer,"1,619,980","1,444,557","1,440,729","1,529,665"
Delaware,"930,335","832,703","882,167","916,678"
Dewey,"714,277","561,396","541,217","596,819"
Ellis,"595,572","518,388","450,687","487,462"
Garfield,"2,795,832","2,632,022","2,774,090","2,707,603"
Garvin,"1,865,206","1,664,848","1,577,967","1,579,903"
Grady,"2,468,173","2,293,091","2,236,875","3,346,705"
Grant,"281,841","280,264","276,948","228,568"
Greer,"96,927","94,052","90,604","84,921"
Harmon,"81,724","75,094","78,875","65,371"
Harper,"248,213","203,756","190,921","156,611"
Haskell,"343,596","316,177","347,870","328,115"
Hughes,"813,533","675,861","724,074","617,975"
Jackson,"1,064,650","1,052,699","1,106,825","1,085,456"
Jefferson,"119,883","119,033","101,919","99,054"
Johnston,"461,090","452,817","447,342","474,373"
Kay,"1,804,031","1,778,283","1,874,590","1,860,044"
Kingfisher,"2,173,920","2,419,470","1,785,043","2,545,429"
Kiowa,"243,827","245,833","246,780","215,013"
Latimer,"302,907","294,977","278,943","276,061"
Le Flore,"1,414,500","1,292,146","1,323,374","1,323,358"
Lincoln,"868,506","834,626","846,837","867,338"
Logan,"899,618","840,522","855,656","868,054"
Love,"585,067","589,765","580,347","659,622"
McClain,"1,519,434","1,446,635","1,382,734","1,458,756"
McCurtain,"1,053,180","1,071,283","1,194,607","1,247,017"
McIntosh,"392,679","386,861","375,938","385,728"
Major,"612,424","451,634","401,794","409,759"
Marshall,"517,766","500,791","504,655","551,928"
Mayes,"1,875,918","1,902,196","1,966,707","1,955,319"
Murray,"556,326","530,213","521,045","530,493"
Muskogee,"2,874,373","2,824,693","2,882,119","2,831,303"
Noble,"724,086","617,000","655,339","613,795"
Nowata,"180,709","184,118","184,129","191,852"
Okfuskee,"255,630","226,111","230,487","239,411"
Oklahoma,"58,288,886","56,447,954","56,617,440","53,616,994"
Okmulgee,"846,129","852,230","819,810","855,997"
Osage,"974,374","863,938","940,524","961,637"
Ottawa,"1,038,999","1,005,293","1,067,176","1,055,226"
Pawnee,"371,424","338,572","344,244","342,222"
Payne,"3,311,954","3,161,382","3,303,072","3,442,236"
Pittsburg,"2,111,658","1,900,745","1,869,154","1,971,652"
Pontotoc,"1,996,420","1,971,896","2,036,520","2,108,874"
Pottawatomie,"2,263,784","2,151,435","2,296,993","2,265,012"
Pushmataha,"223,616","240,589","262,051","244,730"
Roger Mills,"399,530","347,240","319,174","322,357"
Rogers,"3,418,748","3,155,874","3,228,105","3,264,717"
Seminole,"780,021","753,688","749,431","773,552"
Sequoyah,"785,955","747,384","772,458","746,836"
Stephens,"2,004,169","1,855,679","1,885,695","1,895,062"
Texas,"1,853,693","1,741,997","1,980,226","1,546,462"
Tillman,"212,051","163,865","176,256","147,511"
Tulsa,"44,103,044","41,753,395","43,506,456","42,194,793"
Wagoner,"1,361,034","1,382,512","1,336,049","1,311,223"
Washington,"3,937,365","3,576,388","3,174,193","2,199,628"
Washita,"360,490","321,870","322,265","336,949"
Woods,"550,439","549,916","509,076","498,371"
Woodward,"1,176,202","1,101,156","1,157,090","1,182,508"
,,,,
Oregon,"239,910,481","237,670,384","250,099,370","254,708,369"
Baker,"557,754","554,444","544,864","581,443"
Benton,"4,601,570","4,518,078","4,721,965","4,770,134"
Clackamas,"21,452,103","21,068,338","22,327,764","22,708,731"
Clatsop,"1,896,455","1,912,128","1,989,357","1,956,801"
Columbia,"1,331,528","1,367,738","1,436,489","1,434,757"
Coos,"2,383,920","2,293,511","2,406,848","2,398,801"
Crook,"848,933","893,818","1,022,378","1,148,830"
Curry,"688,273","665,974","701,617","701,808"
Deschutes,"10,463,829","10,479,459","11,519,814","11,781,026"
Douglas,"3,744,794","3,732,943","3,933,859","3,823,050"
Gilliam,"240,735","326,732","277,713","269,482"
Grant,"258,658","257,819","267,525","280,068"
Harney,"271,210","276,785","309,275","308,031"
Hood River,"1,248,946","1,179,563","1,324,522","1,290,832"
Jackson,"9,383,009","9,381,689","10,014,915","10,021,222"
Jefferson,"744,586","738,707","751,080","762,611"
Josephine,"2,946,930","2,897,886","3,049,886","3,055,792"
Klamath,"2,393,915","2,368,105","2,460,807","2,461,052"
Lake,"315,184","305,497","309,106","315,993"
Lane,"16,363,906","16,258,193","17,375,993","17,551,013"
Lincoln,"1,941,518","1,922,642","2,001,354","2,013,519"
Linn,"4,921,026","4,788,775","4,893,295","4,996,612"
Malheur,"1,263,737","1,262,480","1,163,021","1,229,190"
Marion,"16,530,337","16,550,594","17,569,879","18,076,500"
Morrow,"1,469,870","1,388,936","1,309,827","1,399,868"
Multnomah,"68,925,535","66,815,187","70,119,159","72,341,927"
Polk,"2,061,246","1,999,925","2,160,474","2,144,067"
Sherman,"518,076","555,184","477,451","572,795"
Tillamook,"1,195,572","1,254,861","1,211,597","1,170,939"
Umatilla,"3,347,764","3,348,999","3,333,101","3,515,227"
Union,"946,236","956,267","1,002,047","1,026,574"
Wallowa,"338,959","314,030","331,200","338,681"
Wasco,"1,519,547","1,550,173","1,658,852","1,743,916"
Washington,"49,033,854","49,840,704","52,259,349","52,568,892"
Wheeler,"33,180","34,355","33,146","34,239"
Yamhill,"3,733,286","3,634,904","3,857,477","3,928,228"
,,,,
Pennsylvania,"772,529,454","736,470,575","764,601,590","772,335,937"
Adams,"3,856,485","3,657,037","3,773,754","3,691,765"
Allegheny,"102,877,973","97,781,493","101,532,105","102,595,120"
Armstrong,"2,209,049","2,055,911","2,020,918","1,914,849"
Beaver,"7,450,970","6,878,261","6,829,286","6,282,303"
Bedford,"1,502,168","1,385,100","1,471,536","1,470,008"
Berks,"20,313,332","19,600,626","20,082,366","20,098,819"
Blair,"6,080,921","5,915,856","6,114,417","6,106,454"
Bradford,"3,637,248","3,656,801","3,845,520","3,639,830"
Bucks,"35,533,024","34,076,940","35,305,876","35,792,453"
Butler,"10,713,376","10,248,136","10,683,950","10,729,375"
Cambria,"4,682,004","4,615,588","4,626,528","4,606,726"
Cameron,"197,291","180,899","187,743","185,453"
Carbon,"2,742,701","2,546,008","2,546,627","2,480,417"
Centre,"8,867,458","8,528,261","8,799,416","8,927,762"
Chester,"45,968,939","44,309,853","45,573,915","46,351,717"
Clarion,"1,206,530","1,131,215","1,091,818","1,063,126"
Clearfield,"2,872,091","2,714,147","2,794,177","2,783,563"
Clinton,"1,794,009","1,679,137","1,621,956","1,591,316"
Columbia,"2,514,088","2,382,907","2,425,812","2,431,085"
Crawford,"2,996,731","2,765,762","2,798,972","2,757,797"
Cumberland,"16,526,976","16,111,636","17,208,982","17,324,145"
Dauphin,"23,105,815","21,510,925","22,401,258","22,650,480"
Delaware,"34,711,789","31,869,110","33,792,676","35,003,794"
Elk,"1,513,236","1,365,209","1,332,622","1,281,070"
Erie,"11,677,494","10,980,387","11,164,431","11,189,002"
Fayette,"4,689,225","4,180,806","4,112,466","4,097,296"
Forest,"239,136","228,554","210,157","213,294"
Franklin,"6,238,670","5,947,734","6,101,218","6,162,110"
Fulton,"693,692","620,958","622,819","631,003"
Greene,"2,935,897","2,728,403","2,838,430","3,092,532"
Huntingdon,"1,307,671","1,232,196","1,223,457","1,240,399"
Indiana,"4,156,215","3,656,172","3,631,906","3,466,487"
Jefferson,"1,562,114","1,423,828","1,379,384","1,363,650"
Juniata,"755,534","707,352","752,340","754,143"
Lackawanna,"9,972,430","9,706,845","10,128,075","10,232,529"
Lancaster,"29,549,059","28,301,522","29,558,896","29,968,719"
Lawrence,"3,078,681","3,086,848","3,224,345","3,217,688"
Lebanon,"5,826,855","5,657,333","6,021,295","6,130,358"
Lehigh,"23,854,724","23,056,874","24,289,666","24,522,310"
Luzerne,"15,552,558","14,615,278","15,163,825","15,046,493"
Lycoming,"5,766,772","5,610,828","5,663,667","5,556,207"
McKean,"1,723,794","1,490,205","1,674,014","1,526,114"
Mercer,"4,427,831","4,075,077","4,126,622","4,208,267"
Mifflin,"1,748,082","1,670,453","1,681,720","1,729,774"
Monroe,"8,263,470","7,897,182","8,360,429","8,325,939"
Montgomery,"80,543,989","79,729,100","84,828,952","86,932,684"
Montour,"1,988,098","1,902,084","2,039,593","2,128,472"
Northampton,"15,804,153","15,231,449","15,508,037","15,537,166"
Northumberland,"3,168,396","3,149,070","3,251,965","3,270,446"
Perry,"991,158","998,536","1,000,406","990,403"
Philadelphia,"108,638,821","101,845,642","105,250,889","107,668,917"
Pike,"1,409,587","1,416,488","1,387,426","1,398,020"
Potter,"920,176","874,399","873,665","837,223"
Schuylkill,"4,939,324","4,734,494","4,728,317","4,783,835"
Snyder,"1,546,495","1,442,011","1,560,935","1,611,949"
Somerset,"2,498,557","2,278,978","2,308,396","2,322,556"
Sullivan,"269,117","258,617","235,272","265,014"
Susquehanna,"2,192,920","2,257,501","2,290,797","2,023,866"
Tioga,"1,646,538","1,521,085","1,533,837","1,520,323"
Union,"1,876,234","1,782,952","1,869,832","1,907,125"
Venango,"1,791,255","1,625,320","1,682,252","1,651,979"
Warren,"1,404,889","1,283,587","1,261,824","1,227,239"
Washington,"13,064,997","12,272,490","13,229,153","13,232,174"
Wayne,"1,873,582","1,871,568","1,885,326","1,872,874"
Westmoreland,"14,925,002","14,080,834","14,575,236","14,546,227"
Wyoming,"1,624,705","1,581,522","1,501,384","1,391,253"
York,"21,554,288","20,545,120","21,095,422","21,185,253"
,,,,
Rhode Island,"59,866,629","58,155,170","60,777,258","62,190,946"
Bristol,"1,797,075","1,685,540","1,866,748","1,949,701"
Kent,"9,657,492","9,498,509","9,597,132","9,690,992"
Newport,"6,183,830","6,028,309","6,631,576","6,750,253"
Providence,"35,447,100","34,144,787","35,514,879","36,416,663"
Washington,"6,781,230","6,799,007","7,168,180","7,384,834"
,,,,
South Carolina,"237,511,428","233,712,251","244,854,047","250,873,361"
Abbeville,"587,262","571,890","548,140","551,141"
Aiken,"7,076,795","6,985,381","7,012,318","7,057,685"
Allendale,"273,479","276,778","255,176","240,383"
Anderson,"7,227,029","7,157,096","7,489,887","7,635,645"
Bamberg,"336,925","322,625","312,775","305,543"
Barnwell,"513,334","473,677","444,633","448,308"
Beaufort,"8,451,041","8,662,668","9,055,714","9,155,690"
Berkeley,"8,430,679","8,532,611","8,917,489","9,041,520"
Calhoun,"624,676","586,373","614,934","628,565"
Charleston,"32,675,007","31,724,581","33,396,443","35,090,098"
Cherokee,"1,796,939","1,672,154","1,718,697","1,794,858"
Chester,"1,173,375","1,126,935","1,113,217","1,142,616"
Chesterfield,"1,491,040","1,342,845","1,379,300","1,366,251"
Clarendon,"613,443","608,606","651,457","619,942"
Colleton,"952,103","933,292","929,239","933,346"
Darlington,"2,708,974","2,608,892","2,681,074","2,657,582"
Dillon,"791,105","748,831","767,645","742,518"
Dorchester,"4,002,330","4,047,931","4,221,484","4,523,498"
Edgefield,"604,819","622,206","617,038","645,611"
Fairfield,"1,021,161","999,824","1,038,481","1,107,965"
Florence,"7,138,086","7,003,556","7,237,837","7,246,018"
Georgetown,"2,537,911","2,572,364","2,770,347","2,760,418"
Greenville,"32,707,350","31,749,046","33,269,962","34,323,026"
Greenwood,"2,940,960","2,907,469","3,285,088","3,373,972"
Hampton,"473,225","458,377","434,539","431,276"
Horry,"13,762,206","13,647,724","14,751,257","15,291,632"
Jasper,"1,210,333","1,302,322","1,337,098","1,333,219"
Kershaw,"1,895,858","1,859,137","2,109,907","2,182,052"
Lancaster,"3,930,627","3,503,108","3,582,506","3,759,395"
Laurens,"2,272,617","2,267,620","2,312,417","2,399,195"
Lee,"340,413","333,684","354,708","345,004"
Lexington,"13,099,358","13,391,231","13,560,456","13,793,436"
McCormick,"224,159","232,510","219,517","222,774"
Marion,"609,741","598,504","605,785","610,429"
Marlboro,"778,332","738,962","818,250","753,000"
Newberry,"1,409,209","1,379,159","1,420,811","1,457,486"
Oconee,"3,702,364","3,638,086","3,709,214","3,724,438"
Orangeburg,"2,827,955","2,714,694","2,783,106","2,751,189"
Pickens,"4,024,124","3,971,500","4,100,231","4,172,579"
Richland,"25,334,527","24,956,630","26,629,339","27,337,102"
Saluda,"442,400","451,137","479,400","495,636"
Spartanburg,"16,118,773","15,726,873","16,500,704","16,727,329"
Sumter,"4,318,495","4,165,564","4,282,658","4,217,560"
Union,"776,401","697,353","706,031","709,481"
Williamsburg,"787,939","753,932","727,151","703,658"
York,"12,497,875","12,678,665","13,698,300","14,094,314"
,,,,
South Dakota,"52,360,071","52,692,069","55,140,361","54,959,323"
Aurora,"83,486","97,321","106,892","114,447"
Beadle,"895,236","875,857","874,112","856,987"
Bennett,"99,579","98,456","92,825","103,304"
Bon Homme,"240,595","220,289","221,428","257,934"
Brookings,"2,032,773","2,100,721","2,161,053","2,160,300"
Brown,"2,122,220","2,303,209","2,396,312","2,429,956"
Brule,"228,716","237,759","250,284","262,528"
Buffalo,"101,299","87,140","80,462","74,947"
Butte,"300,163","309,362","320,123","321,201"
Campbell,"69,366","106,833","116,976","105,320"
Charles Mix,"454,470","444,273","423,530","426,284"
Clark,"155,129","264,353","241,072","232,570"
Clay,"595,260","568,735","614,184","652,226"
Codington,"1,441,474","1,495,011","1,548,793","1,539,280"
Corson,"76,494","84,456","98,639","103,718"
Custer,"239,351","235,516","253,724","261,080"
Davison,"1,194,004","1,181,870","1,226,287","1,213,135"
Day,"216,600","297,160","286,124","293,788"
Deuel,"258,265","288,385","359,209","340,494"
Dewey,"195,908","226,138","212,072","202,130"
Douglas,"220,268","187,130","191,729","188,512"
Edmunds,"200,992","244,244","284,502","281,108"
Fall River,"238,103","230,174","235,456","238,515"
Faulk,"145,571","133,855","154,511","148,234"
Grant,"508,924","491,707","506,514","536,423"
Gregory,"147,813","165,563","169,774","174,832"
Haakon,"85,239","122,295","119,919","118,479"
Hamlin,"222,032","261,944","277,603","278,027"
Hand,"154,492","180,452","196,257","199,542"
Hanson,"142,938","143,126","153,068","156,117"
Harding,"68,509","56,608","65,136","52,387"
Hughes,"1,266,847","1,185,028","1,213,905","1,209,786"
Hutchinson,"433,061","359,452","387,732","422,461"
Hyde,"74,698","95,972","128,185","130,364"
Jackson,"59,455","65,909","69,353","78,859"
Jerauld,"128,824","150,031","165,879","184,081"
Jones,"54,984","47,123","65,814","62,255"
Kingsbury,"264,151","289,413","269,147","263,710"
Lake,"570,046","568,531","595,301","577,441"
Lawrence,"1,136,783","1,163,328","1,275,037","1,320,749"
Lincoln,"2,950,643","4,544,738","5,073,062","6,136,824"
Lyman,"150,483","151,060","165,341","171,488"
McCook,"268,863","242,187","263,548","288,562"
McPherson,"94,153","115,874","130,078","119,306"
Marshall,"247,641","289,724","280,958","285,321"
Meade,"826,987","880,988","858,788","885,739"
Mellette,"28,929","31,907","39,400","39,673"
Miner,"105,137","107,190","116,829","119,997"
Minnehaha,"19,162,137","16,852,706","17,399,512","15,780,685"
Moody,"298,820","340,636","317,320","299,021"
Oglala Lakota,"317,714","336,750","351,975","345,627"
Pennington,"5,687,891","5,794,969","6,049,688","6,153,718"
Perkins,"116,072","131,934","135,019","134,954"
Potter,"146,820","169,873","158,432","167,125"
Roberts,"302,786","367,396","374,960","381,981"
Sanborn,"120,127","120,724","110,340","117,900"
Spink,"321,239","414,333","417,180","411,532"
Stanley,"128,804","110,683","140,247","137,398"
Sully,"97,904","127,034","128,670","130,017"
Todd,"216,930","223,763","244,258","229,437"
Tripp,"232,083","232,750","243,222","254,743"
Turner,"396,789","373,217","415,401","458,647"
Union,"1,491,775","1,592,826","1,760,515","1,723,797"
Walworth,"218,593","249,333","261,954","248,457"
Yankton,"1,255,977","1,238,687","1,320,145","1,385,821"
Ziebach,"33,528","38,747","42,382","46,773"
,,,,
Tennessee,"370,088,308","366,555,158","396,576,207","412,101,349"
Anderson,"4,991,428","4,978,049","5,288,524","5,753,009"
Bedford,"1,958,808","1,883,754","2,054,096","2,227,334"
Benton,"366,995","374,110","398,991","402,589"
Bledsoe,"202,042","199,822","216,440","232,583"
Blount,"5,955,529","5,828,042","6,259,150","6,626,401"
Bradley,"4,429,642","4,575,856","4,768,323","4,812,055"
Campbell,"957,427","950,060","965,248","994,736"
Cannon,"264,905","274,242","299,612","312,201"
Carroll,"666,903","603,662","626,742","643,026"
Carter,"1,069,069","1,062,785","1,093,590","1,103,034"
Cheatham,"1,157,066","1,156,354","1,254,967","1,279,600"
Chester,"364,838","355,259","366,682","370,833"
Claiborne,"792,148","779,599","775,662","774,012"
Clay,"167,622","165,759","177,337","225,514"
Cocke,"772,131","742,208","815,443","826,257"
Coffee,"2,962,502","2,907,091","3,047,721","3,141,646"
Crockett,"547,974","562,076","564,024","577,457"
Cumberland,"1,749,435","1,708,555","1,786,667","1,810,683"
Davidson,"73,574,818","71,646,270","79,933,566","85,468,316"
Decatur,"314,619","301,259","307,469","320,711"
DeKalb,"658,443","658,267","737,987","824,964"
Dickson,"2,057,329","2,008,014","2,053,296","2,100,186"
Dyer,"1,677,553","1,675,371","1,860,718","1,794,520"
Fayette,"1,128,381","1,191,114","1,296,453","1,346,086"
Fentress,"476,327","470,965","493,975","512,498"
Franklin,"1,186,190","1,137,864","1,260,034","1,301,389"
Gibson,"1,486,815","1,495,347","1,567,995","1,459,094"
Giles,"1,125,032","1,113,701","1,172,086","1,256,240"
Grainger,"426,475","430,767","484,002","491,949"
Greene,"2,437,514","2,349,077","2,453,178","2,473,363"
Grundy,"235,245","225,002","239,474","248,294"
Hamblen,"3,122,543","3,111,685","3,356,952","3,458,238"
Hamilton,"25,867,729","25,785,640","27,378,986","29,064,512"
Hancock,"85,967","84,664","85,859","88,244"
Hardeman,"594,669","588,918","591,173","616,839"
Hardin,"916,910","904,603","1,036,592","1,032,198"
Hawkins,"1,651,026","1,550,816","1,629,641","1,824,164"
Haywood,"679,584","625,528","693,540","853,635"
Henderson,"746,532","702,845","787,135","774,043"
Henry,"1,226,620","1,188,039","1,295,988","1,295,266"
Hickman,"475,383","482,173","516,010","536,795"
Houston,"155,735","150,131","148,534","150,484"
Humphreys,"731,705","740,143","802,080","841,682"
Jackson,"213,214","217,243","224,333","225,351"
Jefferson,"1,648,357","1,660,858","1,711,066","1,724,316"
Johnson,"425,216","427,959","438,733","425,810"
Knox,"27,688,338","28,152,426","30,595,071","31,306,893"
Lake,"136,112","124,740","150,580","117,085"
Lauderdale,"724,990","713,357","779,293","705,230"
Lawrence,"1,060,037","1,043,701","1,143,911","1,140,579"
Lewis,"290,200","293,923","321,309","328,694"
Lincoln,"1,103,089","1,036,444","1,100,338","1,191,329"
Loudon,"2,104,206","2,102,050","2,301,531","2,367,297"
McMinn,"2,125,102","2,141,993","2,244,776","2,265,351"
McNairy,"532,625","526,285","549,840","548,036"
Macon,"531,470","518,414","535,006","569,007"
Madison,"5,994,901","5,870,315","6,341,593","6,441,399"
Marion,"799,129","780,476","816,143","853,126"
Marshall,"1,237,526","1,210,132","1,268,113","1,353,372"
Maury,"4,239,045","4,270,091","4,668,911","4,932,361"
Meigs,"243,355","243,625","260,741","263,537"
Monroe,"1,431,777","1,375,551","1,465,908","1,557,106"
Montgomery,"5,765,005","5,963,034","6,413,551","6,608,140"
Moore,"492,919","511,949","528,140","581,867"
Morgan,"306,439","301,821","300,305","308,165"
Obion,"1,169,958","1,196,518","1,287,444","1,284,924"
Overton,"578,421","546,547","564,922","566,568"
Perry,"193,726","171,302","172,238","177,094"
Pickett,"145,901","140,549","132,726","141,680"
Polk,"292,472","290,739","334,511","376,568"
Putnam,"3,539,057","3,586,203","3,775,688","3,848,819"
Rhea,"1,875,513","1,557,255","1,910,432","2,444,762"
Roane,"2,623,117","2,486,673","2,646,506","2,725,719"
Robertson,"2,439,046","2,428,034","2,556,899","2,523,155"
Rutherford,"17,402,026","17,747,866","19,279,899","20,367,932"
Scott,"490,216","472,748","487,195","494,257"
Sequatchie,"283,955","291,883","317,697","326,371"
Sevier,"4,612,694","4,165,497","4,964,380","5,189,391"
Shelby,"64,713,863","63,607,931","66,569,718","66,224,936"
Smith,"706,699","707,900","712,547","745,620"
Stewart,"798,391","620,344","791,998","882,596"
Sullivan,"7,763,603","7,878,559","8,690,431","8,914,979"
Sumner,"7,135,391","7,150,820","7,720,226","8,425,032"
Tipton,"1,208,780","1,239,494","1,324,163","1,303,519"
Trousdale,"205,166","190,286","200,333","210,374"
Unicoi,"544,182","562,342","582,480","585,718"
Union,"324,764","317,697","320,498","341,585"
Van Buren,"97,161","99,057","101,587","106,320"
