,2019,2020,2021,2022
Habersham,"1,490,171","1,437,575","1,424,095","1,502,760"
Hall,"11,294,935","11,587,468","12,133,816","12,920,593"
Hancock,"167,402","169,925","161,847","161,955"
Haralson,"861,185","828,102","889,047","986,629"
Harris,"545,294","553,445","558,720","579,802"
Hart,"876,748","824,490","802,564","922,421"
Heard,"1,234,790","1,226,846","1,094,935","1,342,167"
Henry,"6,753,532","7,014,885","7,531,645","7,735,480"
Houston,"7,090,404","7,110,113","7,369,748","7,469,376"
Irwin,"214,490","208,703","221,562","208,154"
Jackson,"3,328,027","3,640,655","4,044,017","4,411,349"
Jasper,"273,897","270,988","275,183","279,332"
Jeff Davis,"398,652","410,028","440,051","453,101"
Jefferson,"523,223","546,462","556,163","517,089"
Jenkins,"145,616","152,361","145,793","142,775"
Johnson,"131,543","126,049","123,712","124,825"
Jones,"453,399","418,492","433,471","438,887"
Lamar,"418,398","405,120","436,383","453,328"
Lanier,"133,513","130,040","130,755","131,378"
Laurens,"1,798,280","1,784,700","1,889,051","1,848,599"
Lee,"703,086","720,386","732,958","730,406"
Liberty,"3,669,548","3,599,457","3,880,808","3,813,634"
Lincoln,"132,395","136,659","135,593","138,220"
Long,"179,458","157,702","189,275","193,708"
Lowndes,"5,120,153","5,074,281","5,277,025","5,206,615"
Lumpkin,"864,427","839,257","923,873","967,471"
McDuffie,"658,928","666,646","667,504","653,813"
McIntosh,"257,371","249,576","247,062","239,483"
Macon,"411,705","379,609","413,831","448,626"
Madison,"525,827","471,017","530,600","632,890"
Marion,"108,748","117,772","111,586","108,135"
Meriwether,"602,802","586,261","605,094","630,442"
